Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"Washington County, Oregon",41067,71.5,426654,2386 of 3143
"Lea County, New Mexico",35025,71.5,51982,2387 of 3143
"Northumberland County, Virginia",51133,71.5,8550,2388 of 3143
"Lanier County, Georgia",13173,71.4,7054,2389 of 3143
"Hall County, Texas",48191,71.3,2049,2390 of 3143
"Madison County, Texas",48313,71.3,9676,2391 of 3143
"Peoria County, Illinois",17143,71.2,129973,2392 of 3143
"Camden County, Georgia",13039,71.2,38624,2393 of 3143
"Pittsburg County, Oklahoma",40121,71.2,31205,2394 of 3143
"Arkansas County, Arkansas",05001,71.2,12295,2395 of 3143
"Isle of Wight County, Virginia",51093,71.2,27260,2396 of 3143
"Montgomery County, Ohio",39113,71.2,381562,2397 of 3143
"Carter County, Oklahoma",40019,71,34167,2398 of 3143
"Adams County, Colorado",08001,71,365720,2399 of 3143
"Snohomish County, Washington",53061,71,582306,2400 of 3143
"Columbia County, Georgia",13073,71,109528,2401 of 3143
"Lee County, North Carolina",37105,70.9,44432,2402 of 3143
"Gila County, Arizona",04007,70.8,37699,2403 of 3143
"Treutlen County, Georgia",13283,70.8,4541,2404 of 3143
"Atoka County, Oklahoma",40005,70.8,9968,2405 of 3143
"Grimes County, Texas",48185,70.8,20435,2406 of 3143
"Dale County, Alabama",01045,70.8,34987,2407 of 3143
"Greenville County, South Carolina",45045,70.7,367241,2408 of 3143
"Washoe County, Nevada",32031,70.7,339331,2409 of 3143
"Montgomery County, North Carolina",37123,70.7,18305,2410 of 3143
"Orange County, New York",36071,70.7,281566,2411 of 3143
"Starr County, Texas",48427,70.7,46351,2412 of 3143
"Beaufort County, North Carolina",37013,70.7,31734,2413 of 3143
"Lucas County, Ohio",39095,70.7,304762,2414 of 3143
"Lee County, Georgia",13177,70.7,22996,2415 of 3143
"Crenshaw County, Alabama",01041,70.6,9392,2416 of 3143
"Lafayette County, Mississippi",28071,70.6,39351,2417 of 3143
"Spartanburg County, South Carolina",45083,70.5,227641,2418 of 3143
"Robertson County, Texas",48395,70.5,11872,2419 of 3143
"Maricopa County, Arizona",04013,70.5,3077431,2420 of 3143
"Sonoma County, California",06097,70.4,346482,2421 of 3143
"Pushmataha County, Oklahoma",40127,70.3,7661,2422 of 3143
"Williamsburg City, Virginia",51830,70.3,10758,2423 of 3143
"Haskell County, Oklahoma",40061,70.2,8224,2424 of 3143
"Nobles County, Minnesota",27105,70.2,15602,2425 of 3143
"Ventura County, California",06111,70.1,592773,2426 of 3143
"Union Parish, Louisiana",22111,70.1,14904,2427 of 3143
"Will County, Illinois",17197,70,487812,2428 of 3143
"Christian County, Kentucky",21047,70,50695,2429 of 3143
"Henry County, Alabama",01067,70,12019,2430 of 3143
"Bleckley County, Georgia",13023,70,8794,2431 of 3143
"Charlotte County, Virginia",51037,70,8122,2432 of 3143
"Irwin County, Georgia",13155,70,6729,2433 of 3143
"Roosevelt County, New Mexico",35041,70,13451,2434 of 3143
"Champaign County, Illinois",17019,70,144522,2435 of 3143
"Camp County, Texas",48063,69.9,8740,2436 of 3143
"Clark County, Arkansas",05019,69.9,15079,2437 of 3143
"Hennepin County, Minnesota",27053,69.9,888027,2438 of 3143
"Irion County, Texas",48235,69.9,1087,2439 of 3143
"Lake County, Illinois",17097,69.9,499259,2440 of 3143
"Jackson County, Mississippi",28059,69.9,99898,2441 of 3143
"Moore County, Texas",48341,69.8,15005,2442 of 3143
"Costilla County, Colorado",08023,69.7,2453,2443 of 3143
"Collingsworth County, Texas",48087,69.7,2055,2444 of 3143
"Jones County, Texas",48253,69.7,13746,2445 of 3143
"Caldwell County, Texas",48055,69.7,31561,2446 of 3143
"Pierce County, Washington",53053,69.7,634333,2447 of 3143
"Spotsylvania County, Virginia",51177,69.7,96515,2448 of 3143
"Abbeville County, South Carolina",45001,69.7,16986,2449 of 3143
"Charlottesville City, Virginia",51540,69.7,32472,2450 of 3143
"Nacogdoches County, Texas",48347,69.7,45160,2451 of 3143
"Okanogan County, Washington",53047,69.6,29219,2452 of 3143
"Presidio County, Texas",48377,69.6,4404,2453 of 3143
"Pima County, Arizona",04019,69.6,720319,2454 of 3143
"Woodruff County, Arkansas",05147,69.6,4407,2455 of 3143
"Otero County, New Mexico",35035,69.6,46822,2456 of 3143
"Colfax County, Nebraska",31037,69.5,7376,2457 of 3143
"Kershaw County, South Carolina",45055,69.5,45162,2458 of 3143
"Navarro County, Texas",48349,69.4,36050,2459 of 3143
"Craven County, North Carolina",37049,69.4,70415,2460 of 3143
"Miller County, Arkansas",05091,69.4,29767,2461 of 3143
"Rockland County, New York",36087,69.4,233528,2462 of 3143
"Seminole County, Florida",12117,69.4,324313,2463 of 3143
"Guadalupe County, Texas",48187,69.4,117593,2464 of 3143
"Harrison County, Texas",48203,69.4,47647,2465 of 3143
"Del Norte County, California",06015,69.4,19184,2466 of 3143
"Anne Arundel County, Maryland",24003,69.4,405112,2467 of 3143
"Richmond County, New York",36085,69.4,342071,2468 of 3143
"Laurens County, South Carolina",45059,69.3,46557,2469 of 3143
"Lee County, Alabama",01081,69.3,119332,2470 of 3143
"Burlington County, New Jersey",34005,69.3,318760,2471 of 3143
"Tallapoosa County, Alabama",01123,69.3,28593,2472 of 3143
"Yuba County, California",06115,69.2,55657,2473 of 3143
"Limestone County, Texas",48293,69.2,15395,2474 of 3143
"Johnston County, Oklahoma",40069,69.2,7224,2475 of 3143
"Atkinson County, Georgia",13003,69.1,5718,2476 of 3143
"Pemiscot County, Missouri",29155,69.1,11023,2477 of 3143
"New Haven County, Connecticut",09009,69.1,597439,2478 of 3143
"Schley County, Georgia",13249,69,3191,2479 of 3143
"Jefferson County, Kentucky",21111,69,538438,2480 of 3143
"Morris County, Texas",48343,69,8267,2481 of 3143
"Hill County, Montana",30041,69,11238,2482 of 3143
"Calcasieu Parish, Louisiana",22019,69,146628,2483 of 3143
"Putnam County, Georgia",13237,68.9,15065,2484 of 3143
"Denver County, Colorado",08031,68.8,486538,2485 of 3143
"Valdez-Cordova Census Area, Alaska",02261,68.8,6641,2486 of 3143
"Kane County, Illinois",17089,68.8,356822,2487 of 3143
"Bossier Parish, Louisiana",22015,68.8,88396,2488 of 3143
"Ascension Parish, Louisiana",22005,68.8,86172,2489 of 3143
"Colusa County, California",06011,68.8,14975,2490 of 3143
"McIntosh County, Oklahoma",40091,68.7,13133,2491 of 3143
"Valencia County, New Mexico",35061,68.7,52184,2492 of 3143
"Kleberg County, Texas",48273,68.6,21277,2493 of 3143
"Worth County, Georgia",13321,68.5,14273,2494 of 3143
"Santa Cruz County, California",06087,68.5,186503,2495 of 3143
"Brooks County, Texas",48047,68.5,4865,2496 of 3143
"Polk County, Florida",12105,68.5,488583,2497 of 3143
"Providence County, Rhode Island",44007,68.4,449446,2498 of 3143
"Zapata County, Texas",48505,68.4,9543,2499 of 3143
"Drew County, Arkansas",05043,68.4,11976,2500 of 3143
"Terrebonne Parish, Louisiana",22109,68.4,75290,2501 of 3143
"Aiken County, South Carolina",45003,68.4,114895,2502 of 3143
"Colorado County, Texas",48089,68.3,14047,2503 of 3143
"Webb County, Texas",48479,68.3,182385,2504 of 3143
"Walker County, Texas",48471,68.2,52164,2505 of 3143
"Denton County, Texas",48121,68.2,603389,2506 of 3143
"Choctaw County, Mississippi",28019,68,5621,2507 of 3143
"Fairfield County, Connecticut",09001,68,650345,2508 of 3143
"Reeves County, Texas",48389,68,9911,2509 of 3143
"Monroe County, Mississippi",28095,67.9,23399,2510 of 3143
"Fayette County, Tennessee",47047,67.9,28242,2511 of 3143
"Chippewa County, Michigan",26033,67.9,25185,2512 of 3143
"Montgomery County, Georgia",13209,67.9,5907,2513 of 3143
"Upson County, Georgia",13293,67.8,18591,2514 of 3143
"Bowie County, Texas",48037,67.7,62978,2515 of 3143
"Hendry County, Florida",12051,67.7,26718,2516 of 3143
"Anderson County, Texas",48001,67.7,39368,2517 of 3143
"Lincoln County, Georgia",13181,67.7,5204,2518 of 3143
"Lincoln County, Mississippi",28085,67.7,23636,2519 of 3143
"Dauphin County, Pennsylvania",42043,67.7,192382,2520 of 3143
"Jones County, Mississippi",28067,67.7,45602,2521 of 3143
"Sabine Parish, Louisiana",22085,67.6,15137,2522 of 3143
"Houston County, Texas",48225,67.6,15075,2523 of 3143
"Cabarrus County, North Carolina",37025,67.6,149558,2524 of 3143
"Dona Ana County, New Mexico",35013,67.6,147372,2525 of 3143
"Harmon County, Oklahoma",40057,67.5,1714,2526 of 3143
"Clark County, Idaho",16033,67.5,566,2527 of 3143
"Jackson County, Florida",12063,67.4,32413,2528 of 3143
"Charleston County, South Carolina",45019,67.4,273058,2529 of 3143
"Gregg County, Texas",48183,67.4,83434,2530 of 3143
"Houston County, Alabama",01069,67.4,71690,2531 of 3143
"Alamance County, North Carolina",37001,67.4,114027,2532 of 3143
"Jefferson County, Oregon",41031,67.3,16315,2533 of 3143
"Lancaster County, Virginia",51103,67.3,7348,2534 of 3143
"Coryell County, Texas",48099,67.3,54981,2535 of 3143
"Coal County, Oklahoma",40029,67.3,3563,2536 of 3143
"Maverick County, Texas",48323,67.3,38877,2537 of 3143
"Miller County, Georgia",13201,67.2,4019,2538 of 3143
"Arlington County, Virginia",51013,67.2,158344,2539 of 3143
"Arapahoe County, Colorado",08005,67.2,437618,2540 of 3143
"Tulsa County, Oklahoma",40143,67.1,445871,2541 of 3143
"Montgomery County, Tennessee",47125,67.1,145122,2542 of 3143
"Lake County, Tennessee",47095,67.1,4824,2543 of 3143
"Titus County, Texas",48449,67.1,21018,2544 of 3143
"Dodge County, Georgia",13091,67.1,13474,2545 of 3143
"Butts County, Georgia",13035,67,16721,2546 of 3143
"Candler County, Georgia",13043,67,7290,2547 of 3143
"Jackson Parish, Louisiana",22049,67,10189,2548 of 3143
"Napa County, California",06055,67,92927,2549 of 3143
"St. Charles Parish, Louisiana",22089,67,35090,2550 of 3143
"Cook County, Georgia",13075,66.9,11505,2551 of 3143
"Tate County, Mississippi",28137,66.9,18820,2552 of 3143
"Glynn County, Georgia",13127,66.9,56449,2553 of 3143
"King and Queen County, Virginia",51097,66.9,4474,2554 of 3143
"Marshall County, Oklahoma",40095,66.8,10265,2555 of 3143
"Socorro County, New Mexico",35053,66.8,11092,2556 of 3143
"Lafayette Parish, Louisiana",22055,66.8,161076,2557 of 3143
"Clinch County, Georgia",13065,66.7,4496,2558 of 3143
"Person County, North Carolina",37145,66.7,26021,2559 of 3143
"Hartford County, Connecticut",09003,66.7,599498,2560 of 3143
"Madison County, Alabama",01089,66.7,254837,2561 of 3143
"St. Bernard Parish, Louisiana",22087,66.7,29213,2562 of 3143
"Tillman County, Oklahoma",40141,66.7,4713,2563 of 3143
"Delaware County, Pennsylvania",42045,66.6,382352,2564 of 3143
"Yuma County, Arizona",04027,66.5,134869,2565 of 3143
"Washington Parish, Louisiana",22117,66.5,30431,2566 of 3143
"St. Lucie County, Florida",12111,66.5,215702,2567 of 3143
"Lamar County, Georgia",13171,66.4,12268,2568 of 3143
"St. Martin Parish, Louisiana",22099,66.3,34612,2569 of 3143
"Assumption Parish, Louisiana",22007,66.3,14161,2570 of 3143
"Douglas County, Washington",53017,66.3,28246,2571 of 3143
"Evangeline Parish, Louisiana",22039,66.2,21556,2572 of 3143
"Hamilton County, Ohio",39061,66.2,547370,2573 of 3143
"Echols County, Georgia",13101,66.2,2443,2574 of 3143
"Coosa County, Alabama",01037,66.2,6911,2575 of 3143
"Travis County, Texas",48453,66.2,838840,2576 of 3143
"Catahoula Parish, Louisiana",22025,66.1,6025,2577 of 3143
"Escambia County, Florida",12033,66.1,210693,2578 of 3143
"Hughes County, Oklahoma",40063,66.1,8857,2579 of 3143
"Pontotoc County, Oklahoma",40123,66,25161,2580 of 3143
"Nowata County, Oklahoma",40105,66,6259,2581 of 3143
"Bergen County, New Jersey",34003,66,628654,2582 of 3143
"Ector County, Texas",48135,66,106364,2583 of 3143
"Seminole County, Oklahoma",40133,65.9,15691,2584 of 3143
"Franklin County, North Carolina",37069,65.9,44567,2585 of 3143
"La Paz County, Arizona",04012,65.9,11104,2586 of 3143
"Santa Barbara County, California",06083,65.9,294936,2587 of 3143
"Washington County, Alabama",01129,65.8,10255,2588 of 3143
"Harrison County, Mississippi",28047,65.7,136330,2589 of 3143
"Pulaski County, Illinois",17153,65.7,3470,2590 of 3143
"Alachua County, Florida",12001,65.7,181316,2591 of 3143
"Howard County, Arkansas",05061,65.6,8460,2592 of 3143
"Mineral County, Nevada",32021,65.6,2986,2593 of 3143
"Bernalillo County, New Mexico",35001,65.6,442423,2594 of 3143
"Duplin County, North Carolina",37061,65.5,32630,2595 of 3143
"Cochran County, Texas",48079,65.5,1671,2596 of 3143
"Lake County, Montana",30047,65.4,20308,2597 of 3143
"Falls County, Texas",48145,65.4,11169,2598 of 3143
"Dorchester County, South Carolina",45035,65.4,104774,2599 of 3143
"Harnett County, North Carolina",37085,65.4,87022,2600 of 3143
"Palm Beach County, Florida",12099,65.4,968070,2601 of 3143
"Jackson County, Missouri",29095,65.3,466030,2602 of 3143
"Plaquemines Parish, Louisiana",22075,65.3,15371,2603 of 3143
"Sandoval County, New Mexico",35043,65.3,96189,2604 of 3143
"Toombs County, Georgia",13279,65.3,17599,2605 of 3143
"Tangipahoa Parish, Louisiana",22105,65.3,86492,2606 of 3143
"Franklin Parish, Louisiana",22041,65.3,13029,2607 of 3143
"St. Louis County, Missouri",29189,65.3,653837,2608 of 3143
"Lincoln County, Arkansas",05079,65.2,8542,2609 of 3143
"Yakima County, Washington",53077,65.2,166449,2610 of 3143
"La Salle County, Texas",48283,65.2,4537,2611 of 3143
"Lee County, Mississippi",28081,65.2,54363,2612 of 3143
"Georgetown County, South Carolina",45043,65.2,41062,2613 of 3143
"Gonzales County, Texas",48177,65.2,12853,2614 of 3143
"Westmoreland County, Virginia",51193,65.1,11938,2615 of 3143
"Winn Parish, Louisiana",22127,65.1,9031,2616 of 3143
"Berkeley County, South Carolina",45015,65.1,146304,2617 of 3143
"Avoyelles Parish, Louisiana",22009,65.1,25951,2618 of 3143
"Elbert County, Georgia",13105,65.1,12657,2619 of 3143
"Wheeler County, Georgia",13309,65.1,4924,2620 of 3143
"Caroline County, Virginia",51033,65.1,20078,2621 of 3143
"Oklahoma County, Oklahoma",40109,65,513819,2622 of 3143
"Santa Cruz County, Arizona",04023,64.9,30808,2623 of 3143
"Ottawa County, Oklahoma",40115,64.9,19835,2624 of 3143
"Union County, South Carolina",45087,64.9,17714,2625 of 3143
"Grady County, Georgia",13131,64.8,16896,2626 of 3143
"Stanislaus County, California",06099,64.8,356790,2627 of 3143
"Juneau Borough, Alaska",02110,64.7,20873,2628 of 3143
"Latimer County, Oklahoma",40077,64.6,6175,2629 of 3143
"Calhoun County, Mississippi",28013,64.6,8669,2630 of 3143
"Petersburg Census Area, Alaska",02195,64.6,2175,2631 of 3143
"Nassau County, New York",36059,64.6,898504,2632 of 3143
"Accomack County, Virginia",51001,64.5,21537,2633 of 3143
"Dinwiddie County, Virginia",51053,64.5,18082,2634 of 3143
"Lawrence County, Mississippi",28077,64.5,7773,2635 of 3143
"Mayes County, Oklahoma",40097,64.5,25331,2636 of 3143
"Carroll County, Mississippi",28015,64.4,6471,2637 of 3143
"Hidalgo County, Texas",48215,64.4,557206,2638 of 3143
"Ketchikan Gateway Borough, Alaska",02130,64.4,8970,2639 of 3143
"Marion County, Mississippi",28091,64.3,15814,2640 of 3143
"Charlton County, Georgia",13049,64.1,7953,2641 of 3143
"Seminole County, Georgia",13253,64.1,5834,2642 of 3143
"Bulloch County, Georgia",13031,64,50982,2643 of 3143
"Bexar County, Texas",48029,64,1273323,2644 of 3143
"Virginia Beach City, Virginia",51810,63.9,292528,2645 of 3143
"Clarke County, Mississippi",28023,63.9,10011,2646 of 3143
"Wicomico County, Maryland",24045,63.8,65881,2647 of 3143
"Delaware County, Oklahoma",40041,63.8,25966,2648 of 3143
"Alexander County, Illinois",17003,63.8,3502,2649 of 3143
"Osage County, Oklahoma",40113,63.8,29427,2650 of 3143
"Chesterfield County, Virginia",51041,63.7,229291,2651 of 3143
"Dorchester County, Maryland",24019,63.7,20698,2652 of 3143
"Union County, Arkansas",05139,63.6,24989,2653 of 3143
"Coffee County, Georgia",13069,63.6,27394,2654 of 3143
"Cumberland County, Virginia",51049,63.6,6152,2655 of 3143
"Ramsey County, Minnesota",27123,63.6,349363,2656 of 3143
"Kent County, Delaware",10001,63.6,114515,2657 of 3143
"Brazoria County, Texas",48039,63.6,234325,2658 of 3143
"Lynchburg City, Virginia",51680,63.6,50199,2659 of 3143
"Sitka Borough, Alaska",02220,63.5,5413,2660 of 3143
"Okmulgee County, Oklahoma",40111,63.5,23540,2661 of 3143
"Dawson County, Texas",48115,63.5,7860,2662 of 3143
"Grant County, Washington",53025,63.5,62182,2663 of 3143
"Bradley County, Arkansas",05011,63.5,6731,2664 of 3143
"Franklin County, Ohio",39049,63.5,833927,2665 of 3143
"Hillsborough County, Florida",12057,63.4,915469,2666 of 3143
"Ware County, Georgia",13299,63.4,22870,2667 of 3143
"Stafford County, Virginia",51179,63.3,97612,2668 of 3143
"McIntosh County, Georgia",13191,63.3,7144,2669 of 3143
"Yolo County, California",06113,63.3,137091,2670 of 3143
"Craig County, Oklahoma",40035,63.2,8955,2671 of 3143
"Swain County, North Carolina",37173,63.2,8949,2672 of 3143
"Fairfax City, Virginia",51600,63.2,15146,2673 of 3143
"Geary County, Kansas",20061,63.1,23040,2674 of 3143
"DeSoto County, Mississippi",28033,63.1,115546,2675 of 3143
"Jefferson County, Florida",12065,63,9081,2676 of 3143
"Talladega County, Alabama",01121,63,51584,2677 of 3143
"Gates County, North Carolina",37073,63,6665,2678 of 3143
"Chattahoochee County, Georgia",13053,62.9,5998,2679 of 3143
"Webster Parish, Louisiana",22119,62.9,23492,2680 of 3143
"Fayette County, Georgia",13113,62.9,74079,2681 of 3143
"Collin County, Texas",48085,62.9,653729,2682 of 3143
"Wilcox County, Georgia",13315,62.9,5557,2683 of 3143
"Nevada County, Arkansas",05099,62.8,5237,2684 of 3143
"Schleicher County, Texas",48413,62.8,1599,2685 of 3143
"Sequoyah County, Oklahoma",40135,62.8,24883,2686 of 3143
"Greenwood County, South Carolina",45047,62.7,43499,2687 of 3143
"San Benito County, California",06069,62.7,39715,2688 of 3143
"Pointe Coupee Parish, Louisiana",22077,62.7,13137,2689 of 3143
"Chesterfield County, South Carolina",45025,62.6,27344,2690 of 3143
"St. Clair County, Illinois",17163,62.6,161899,2691 of 3143
"Johnson County, Georgia",13167,62.6,5802,2692 of 3143
"Curry County, New Mexico",35009,62.6,30481,2693 of 3143
"Prince Edward County, Virginia",51147,62.6,13694,2694 of 3143
"Matagorda County, Texas",48321,62.5,22707,2695 of 3143
"Mecklenburg County, Virginia",51117,62.5,18969,2696 of 3143
"Tuscaloosa County, Alabama",01125,62.5,139957,2697 of 3143
"Wake County, North Carolina",37183,62.5,695410,2698 of 3143
"Southampton County, Virginia",51175,62.5,11264,2699 of 3143
"Forsyth County, North Carolina",37067,62.4,237646,2700 of 3143
"Franklin County, Mississippi",28037,62.4,4807,2701 of 3143
"Caswell County, North Carolina",37033,62.4,14214,2702 of 3143
"DeWitt County, Texas",48123,62.3,12364,2703 of 3143
"Jones County, North Carolina",37103,62.3,5813,2704 of 3143
"Glasscock County, Texas",48173,62.3,761,2705 of 3143
"Kern County, California",06029,62.3,564183,2706 of 3143
"Rapides Parish, Louisiana",22079,62.3,81215,2707 of 3143
"Saluda County, South Carolina",45081,62.2,11828,2708 of 3143
"Bastrop County, Texas",48021,62.2,59039,2709 of 3143
"Okfuskee County, Oklahoma",40107,62.1,7109,2710 of 3143
"San Diego County, California",06073,62,2043229,2711 of 3143
"Colquitt County, Georgia",13071,61.9,28372,2712 of 3143
"Caddo County, Oklahoma",40015,61.9,16868,2713 of 3143
"Franklin County, Washington",53021,61.9,58985,2714 of 3143
"Fredericksburg City, Virginia",51630,61.9,17343,2715 of 3143
"Newberry County, South Carolina",45071,61.9,23411,2716 of 3143
"Hyde County, North Carolina",37095,61.8,2901,2717 of 3143
"Covington County, Mississippi",28031,61.7,11412,2718 of 3143
"Atlantic County, New Jersey",34001,61.7,168911,2719 of 3143
"Columbia County, Arkansas",05027,61.6,14143,2720 of 3143
"Buckingham County, Virginia",51029,61.6,10369,2721 of 3143
"Escambia County, Alabama",01053,61.6,22707,2722 of 3143
"Richland Parish, Louisiana",22083,61.4,12350,2723 of 3143
"Emanuel County, Georgia",13107,61.4,13964,2724 of 3143
"McCurtain County, Oklahoma",40089,61.3,19083,2725 of 3143
"Simpson County, Mississippi",28127,61.3,15982,2726 of 3143
"Lauderdale County, Tennessee",47097,61.2,15552,2727 of 3143
"De Soto Parish, Louisiana",22031,61.1,16381,2728 of 3143
"Davidson County, Tennessee",47037,61.1,432984,2729 of 3143
"Cumberland County, New Jersey",34011,61.1,94672,2730 of 3143
"Richmond County, Virginia",51159,61.1,5436,2731 of 3143
"Jenkins County, Georgia",13165,61.1,5308,2732 of 3143
"Charles Mix County, South Dakota",46023,61,5704,2733 of 3143
"Guadalupe County, New Mexico",35019,61,2724,2734 of 3143
"Choctaw County, Oklahoma",40023,61,8721,2735 of 3143
"Columbus County, North Carolina",37047,60.9,31341,2736 of 3143
"Somerset County, New Jersey",34035,60.9,209411,2737 of 3143
"New Castle County, Delaware",10003,60.8,345223,2738 of 3143
"Benton County, Mississippi",28009,60.8,4673,2739 of 3143
"Tift County, Georgia",13277,60.7,24984,2740 of 3143
"Halifax County with South Boston City, Virginia",51083,60.7,20777,2741 of 3143
"Sevier County, Arkansas",05133,60.7,9756,2742 of 3143
"Cuyahoga County, Ohio",39035,60.6,766091,2743 of 3143
"Clarke County, Georgia",13059,60.6,77664,2744 of 3143
"King County, Washington",53033,60.5,1356265,2745 of 3143
"Camden County, New Jersey",34007,60.4,314994,2746 of 3143
"Dimmit County, Texas",48127,60.4,5340,2747 of 3143
"Lunenburg County, Virginia",51111,60.3,7226,2748 of 3143
"Anchorage Borough, Alaska",02020,60.3,176279,2749 of 3143
"Spalding County, Georgia",13255,60.3,40201,2750 of 3143
"Comanche County, Oklahoma",40031,60.2,73165,2751 of 3143
"Coconino County, Arizona",04005,60.2,87259,2752 of 3143
"Wayne County, North Carolina",37191,60.1,70739,2753 of 3143
"Roanoke City, Virginia",51770,60.1,59831,2754 of 3143
"Chowan County, North Carolina",37041,60.1,8285,2755 of 3143
"Lake County, Indiana",18089,60,297799,2756 of 3143
"Edgefield County, South Carolina",45037,60,15572,2757 of 3143
"Mountrail County, North Dakota",38061,60,5830,2758 of 3143
"Northampton County, Virginia",51131,59.9,7328,2759 of 3143
"Westchester County, New York",36119,59.9,599188,2760 of 3143
"Loudoun County, Virginia",51107,59.8,247456,2761 of 3143
"Yalobusha County, Mississippi",28161,59.8,7529,2762 of 3143
"Marion County, Georgia",13197,59.8,4524,2763 of 3143
"Hamilton County, Florida",12047,59.7,8344,2764 of 3143
"Chester County, South Carolina",45023,59.7,19262,2765 of 3143
"Long County, Georgia",13183,59.7,9787,2766 of 3143
"Newton County, Mississippi",28101,59.7,12763,2767 of 3143
"Granville County, North Carolina",37077,59.6,36253,2768 of 3143
"El Paso County, Texas",48141,59.6,512529,2769 of 3143
"Tarrant County, Texas",48439,59.5,1245396,2770 of 3143
"Tulare County, California",06107,59.3,279500,2771 of 3143
"Alpine County, California",06003,59.2,796,2772 of 3143
"Iberia Parish, Louisiana",22045,59.2,41738,2773 of 3143
"Thomas County, Georgia",13275,59.2,27020,2774 of 3143
"Lafayette County, Arkansas",05073,59.2,3770,2775 of 3143
"Mississippi County, Arkansas",05093,59.1,24266,2776 of 3143
"Leon County, Florida",12073,59.1,171932,2777 of 3143
"Wrangell Borough, Alaska",02275,59,1275,2778 of 3143
"Greene County, Georgia",13133,58.8,10860,2779 of 3143
"Alexandria City, Virginia",51510,58.8,92945,2780 of 3143
"Richmond County, North Carolina",37153,58.7,25427,2781 of 3143
"Forrest County, Mississippi",28035,58.6,45546,2782 of 3143
"Sutter County, California",06101,58.5,57951,2783 of 3143
"Marion County, Indiana",18097,58.5,567024,2784 of 3143
"San Miguel County, New Mexico",35047,58.5,15991,2785 of 3143
"St. Mary Parish, Louisiana",22101,58.4,29103,2786 of 3143
"Pulaski County, Georgia",13235,58.4,5841,2787 of 3143
"Sampson County, North Carolina",37163,58.4,34719,2788 of 3143
"Chesapeake City, Virginia",51550,58.3,144113,2789 of 3143
"Jefferson Parish, Louisiana",22051,58.2,255623,2790 of 3143
"Houston County, Georgia",13153,58.2,93757,2791 of 3143
"Ouachita Parish, Louisiana",22073,58.1,93017,2792 of 3143
"Ben Hill County, Georgia",13017,58,9991,2793 of 3143
"Meriwether County, Georgia",13199,58,11972,2794 of 3143
"Neshoba County, Mississippi",28099,57.9,16893,2795 of 3143
"Tyrrell County, North Carolina",37177,57.9,1991,2796 of 3143
"Laurens County, Georgia",13175,57.9,28499,2797 of 3143
"Wilkinson County, Georgia",13319,57.9,5171,2798 of 3143
"Bell County, Texas",48027,57.8,210914,2799 of 3143
"Taylor County, Georgia",13269,57.8,4541,2800 of 3143
"Brooks County, Georgia",13027,57.8,9388,2801 of 3143
"Osceola County, Florida",12097,57.7,219358,2802 of 3143
"Prince George County, Virginia",51149,57.6,24301,2803 of 3143
"Manassas City, Virginia",51683,57.6,24539,2804 of 3143
"Amite County, Mississippi",28005,57.5,7317,2805 of 3143
"Baltimore County, Maryland",24005,57.5,489211,2806 of 3143
"West Baton Rouge Parish, Louisiana",22121,57.5,15559,2807 of 3143
"Mobile County, Alabama",01097,57.4,238047,2808 of 3143
"Mercer County, New Jersey",34021,57.4,220833,2809 of 3143
"Mora County, New Mexico",35033,57.3,2423,2810 of 3143
"Wayne County, Mississippi",28153,57.2,11336,2811 of 3143
"Pike County, Alabama",01109,57.2,18961,2812 of 3143
"Pickens County, Alabama",01107,57.2,10996,2813 of 3143
"Troup County, Georgia",13285,57.1,39703,2814 of 3143
"Pasquotank County, North Carolina",37139,57.1,22976,2815 of 3143
"Bladen County, North Carolina",37017,57.1,17187,2816 of 3143
"Nottoway County, Virginia",51135,57,8924,2817 of 3143
"Concordia Parish, Louisiana",22029,56.9,10814,2818 of 3143
"Chambers County, Alabama",01017,56.9,19827,2819 of 3143
"Tattnall County, Georgia",13267,56.9,13206,2820 of 3143
"Kings County, California",06031,56.9,86371,2821 of 3143
"Colleton County, South Carolina",45029,56.7,21857,2822 of 3143
"Madison County, Florida",12079,56.7,10242,2823 of 3143
"Madison County, Mississippi",28089,56.7,61408,2824 of 3143
"Choctaw County, Alabama",01023,56.7,7255,2825 of 3143
"Ouachita County, Arkansas",05103,56.7,12952,2826 of 3143
"Fairfax County, Virginia",51059,56.6,649590,2827 of 3143
"Evans County, Georgia",13109,56.5,6081,2828 of 3143
"Miami-Dade County, Florida",12086,56.5,1520002,2829 of 3143
"Oktibbeha County, Mississippi",28105,56.4,28978,2830 of 3143
"Red River Parish, Louisiana",22081,56.4,4389,2831 of 3143
"Turner County, Georgia",13287,56.3,4989,2832 of 3143
"Harding County, New Mexico",35021,56.3,300,2833 of 3143
"Madison County, Tennessee",47113,56.1,55229,2834 of 3143
"Calhoun County, South Carolina",45017,56.1,7970,2835 of 3143
"Roberts County, South Dakota",46109,56.1,5754,2836 of 3143
"Duval County, Florida",12031,56.1,551519,2837 of 3143
"Texas County, Oklahoma",40139,56,12005,2838 of 3143
"Muskogee County, Oklahoma",40101,55.9,37376,2839 of 3143
"Screven County, Georgia",13251,55.8,7829,2840 of 3143
