Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"Carbon County, Montana",30009,95.5,10013,368 of 3143
"Bollinger County, Missouri",29017,95.5,10270,369 of 3143
"Converse County, Wyoming",56009,95.5,13080,370 of 3143
"Oneida County, Idaho",16071,95.5,4309,371 of 3143
"Humboldt County, Iowa",19091,95.5,9185,372 of 3143
"Huntington County, Indiana",18069,95.5,34910,373 of 3143
"Carroll County, Virginia",51035,95.5,27798,374 of 3143
"Polk County, Wisconsin",55095,95.4,42766,375 of 3143
"Sanilac County, Michigan",26151,95.4,38969,376 of 3143
"Orange County, Vermont",50017,95.4,27950,377 of 3143
"Marshall County, Kansas",20117,95.4,9539,378 of 3143
"Decatur County, Indiana",18031,95.4,25256,379 of 3143
"Carter County, Tennessee",47019,95.4,53736,380 of 3143
"Kingsbury County, South Dakota",46077,95.4,4896,381 of 3143
"Custer County, Nebraska",31041,95.4,10138,382 of 3143
"Green County, Wisconsin",55045,95.4,35396,383 of 3143
"Smyth County, Virginia",51173,95.4,28585,384 of 3143
"Essex County, Vermont",50009,95.4,5697,385 of 3143
"Dickinson County, Iowa",19059,95.4,16728,386 of 3143
"Livingston County, Michigan",26093,95.4,184314,387 of 3143
"Vernon County, Missouri",29217,95.4,18915,388 of 3143
"Marion County, Arkansas",05089,95.4,15976,389 of 3143
"Kossuth County, Iowa",19109,95.4,14138,390 of 3143
"Broadwater County, Montana",30007,95.4,6334,391 of 3143
"Barry County, Michigan",26015,95.4,59147,392 of 3143
"Foster County, North Dakota",38031,95.4,3239,392 of 3143
"Washington County, Ohio",39167,95.4,57170,394 of 3143
"Richland County, Illinois",17159,95.4,15141,395 of 3143
"Tioga County, New York",36107,95.4,46318,396 of 3143
"Oscoda County, Michigan",26135,95.4,7826,397 of 3143
"Grant County, Minnesota",27051,95.4,5765,398 of 3143
"McIntosh County, North Dakota",38051,95.4,2449,399 of 3143
"Boone County, Arkansas",05009,95.4,35708,400 of 3143
"Marquette County, Wisconsin",55077,95.4,14795,401 of 3143
"Rock County, Minnesota",27133,95.4,9267,402 of 3143
"Putnam County, Illinois",17155,95.4,5376,403 of 3143
"Granite County, Montana",30039,95.3,3178,404 of 3143
"Van Buren County, Tennessee",47175,95.3,5800,405 of 3143
"Coffey County, Kansas",20031,95.3,7972,406 of 3143
"Venango County, Pennsylvania",42121,95.3,48441,407 of 3143
"Marshall County, Illinois",17123,95.3,11231,408 of 3143
"Knox County, Maine",23013,95.3,38626,409 of 3143
"Metcalfe County, Kentucky",21169,95.3,9794,410 of 3143
"Arenac County, Michigan",26011,95.3,14305,411 of 3143
"Whitley County, Indiana",18183,95.3,32450,412 of 3143
"Orleans County, Vermont",50019,95.3,26034,413 of 3143
"Belknap County, New Hampshire",33001,95.3,60417,414 of 3143
"Clinton County, Pennsylvania",42035,95.3,36046,415 of 3143
"Wheatland County, Montana",30107,95.3,1984,416 of 3143
"Benton County, Indiana",18007,95.3,8278,417 of 3143
"Kanabec County, Minnesota",27065,95.3,15250,418 of 3143
"Hamilton County, Nebraska",31081,95.3,8934,419 of 3143
"Highland County, Ohio",39071,95.3,41127,420 of 3143
"Carroll County, Indiana",18015,95.3,19330,421 of 3143
"Kittson County, Minnesota",27069,95.3,4014,422 of 3143
