Demographic Data Report for United States by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Pickens County, South Carolina",45077,4.5,1786,"1837 of 3143"
"Gladwin County, Michigan",26051,4.5,419,"1836 of 3143"
"Grant County, Indiana",18053,4.5,946,"1835 of 3143"
"Hamilton County, Texas",48193,4.5,124,"1834 of 3143"
"Hartford County, Connecticut",09003,4.5,13459,"1833 of 3143"
"Pierce County, Nebraska",31139,4.5,111,"1832 of 3143"
"Turner County, Georgia",13287,4.5,131,"1831 of 3143"
"Macon County, North Carolina",37113,4.5,583,"1830 of 3143"
"Bibb County, Georgia",13021,4.5,2086,"1828 of 3143"
"Jack County, Texas",48237,4.5,142,"1828 of 3143"
"Scott County, Missouri",29201,4.5,555,"1827 of 3143"
"Pickens County, Georgia",13227,4.5,526,"1826 of 3143"
"Upshur County, Texas",48459,4.5,598,"1825 of 3143"
"Jefferson County, Indiana",18077,4.4,482,"1824 of 3143"
"Delaware County, Oklahoma",40041,4.4,641,"1823 of 3143"
"Aiken County, South Carolina",45003,4.4,2505,"1822 of 3143"
"Wyoming County, New York",36121,4.4,720,"1821 of 3143"
"Thurston County, Nebraska",31173,4.4,78,"1820 of 3143"
"Shannon County, Missouri",29203,4.4,113,"1819 of 3143"
"Murray County, Oklahoma",40099,4.4,208,"1818 of 3143"
"Davidson County, North Carolina",37057,4.4,2532,"1817 of 3143"
"Franklin County, Virginia",51067,4.4,860,"1816 of 3143"
"Tulsa County, Oklahoma",40143,4.4,9300,"1815 of 3143"
"Amherst County, Virginia",51009,4.4,481,"1814 of 3143"
"Wayne County, Indiana",18177,4.4,967,"1813 of 3143"
"Deuel County, South Dakota",46039,4.4,67,"1812 of 3143"
"Berrien County, Georgia",13019,4.4,269,"1811 of 3143"
"Nassau County, New York",36059,4.4,20573,"1810 of 3143"
"Lewis County, Washington",53041,4.4,1261,"1809 of 3143"
"Murray County, Minnesota",27101,4.4,129,"1807 of 3143"
"Pulaski County, Virginia",51155,4.4,559,"1807 of 3143"
"Sullivan County, Tennessee",47163,4.4,2442,"1806 of 3143"
"Loudon County, Tennessee",47105,4.4,856,"1805 of 3143"
"Cooper County, Missouri",29053,4.4,269,"1804 of 3143"
"Butler County, Alabama",01013,4.4,262,"1803 of 3143"
"Bryan County, Oklahoma",40013,4.4,645,"1802 of 3143"
"Union Parish, Louisiana",22111,4.4,323,"1801 of 3143"
"Douglas County, South Dakota",46043,4.4,41,"1800 of 3143"
"Carter County, Tennessee",47019,4.4,900,"1799 of 3143"
"Barton County, Missouri",29011,4.4,169,"1798 of 3143"
"Carroll County, Illinois",17015,4.4,250,"1797 of 3143"
"Giles County, Tennessee",47055,4.4,452,"1796 of 3143"
"Stokes County, North Carolina",37169,4.4,695,"1795 of 3143"
"Hall County, Texas",48191,4.4,43,"1794 of 3143"
"Floyd County, Iowa",19067,4.4,231,"1793 of 3143"
"Hays County, Texas",48209,4.4,3095,"1792 of 3143"
"Kankakee County, Illinois",17091,4.4,1528,"1791 of 3143"
"Putnam County, Tennessee",47141,4.4,1080,"1790 of 3143"
"Houston County, Alabama",01069,4.4,1495,"1789 of 3143"
"Decatur County, Iowa",19053,4.3,100,"1788 of 3143"
"Florence County, South Carolina",45041,4.3,1841,"1787 of 3143"
"Custer County, Idaho",16037,4.3,77,"1786 of 3143"
"Montgomery County, Texas",48339,4.3,8480,"1785 of 3143"
"Gates County, North Carolina",37073,4.3,157,"1784 of 3143"
"Scott County, Kansas",20171,4.3,74,"1783 of 3143"
"Chase County, Nebraska",31029,4.3,55,"1782 of 3143"
"Parker County, Texas",48367,4.3,2087,"1781 of 3143"
"Chickasaw County, Iowa",19037,4.3,180,"1780 of 3143"
"Orange County, Florida",12095,4.3,20152,"1779 of 3143"
"Taylor County, Kentucky",21217,4.3,357,"1778 of 3143"
"Cochise County, Arizona",04003,4.3,1908,"1777 of 3143"
"Day County, South Dakota",46037,4.3,86,"1776 of 3143"
"Jackson County, North Carolina",37099,4.3,583,"1775 of 3143"
"Johnson County, Nebraska",31097,4.3,101,"1774 of 3143"
"Wheatland County, Montana",30107,4.3,29,"1773 of 3143"
"Madison County, Kentucky",21151,4.3,1187,"1772 of 3143"
"Butler County, Missouri",29023,4.3,596,"1771 of 3143"
"Lowndes County, Alabama",01085,4.3,142,"1770 of 3143"
"Wells County, North Dakota",38103,4.3,60,"1769 of 3143"
"West Baton Rouge Parish, Louisiana",22121,4.3,389,"1768 of 3143"
"Talbot County, Georgia",13263,4.3,91,"1767 of 3143"
"Baca County, Colorado",08009,4.3,53,"1766 of 3143"
"Chautauqua County, Kansas",20019,4.3,54,"1765 of 3143"
"Lebanon County, Pennsylvania",42075,4.3,2038,"1764 of 3143"
"Custer County, Oklahoma",40039,4.3,355,"1763 of 3143"
"Tate County, Mississippi",28137,4.3,373,"1762 of 3143"
"Orange County, Indiana",18117,4.3,292,"1761 of 3143"
"Douglas County, Georgia",13097,4.3,1835,"1760 of 3143"
"Wayne County, New York",36117,4.3,1375,"1759 of 3143"
"Lafayette Parish, Louisiana",22055,4.3,3337,"1758 of 3143"
"Clinton County, New York",36019,4.3,1229,"1757 of 3143"
"Baltimore City, Maryland",24510,4.3,8135,"1756 of 3143"
"St. Lawrence County, New York",36089,4.3,1553,"1755 of 3143"
"Catoosa County, Georgia",13047,4.3,950,"1754 of 3143"
"Marshall County, Indiana",18099,4.3,647,"1753 of 3143"
"Calhoun County, Alabama",01015,4.3,1610,"1752 of 3143"
"Fayette County, Illinois",17051,4.3,343,"1751 of 3143"
"Reagan County, Texas",48383,4.3,45,"1750 of 3143"
"Garvin County, Oklahoma",40049,4.3,361,"1749 of 3143"
"Jackson County, Florida",12063,4.2,818,"1748 of 3143"
"Montgomery County, Alabama",01101,4.2,2960,"1747 of 3143"
"Lake County, Indiana",18089,4.2,6780,"1746 of 3143"
"Cattaraugus County, New York",36009,4.2,1111,"1745 of 3143"
"Bosque County, Texas",48035,4.2,266,"1744 of 3143"
"Sevier County, Tennessee",47155,4.2,1427,"1743 of 3143"
"Broward County, Florida",12011,4.2,28069,"1742 of 3143"
"Lake and Peninsula Borough, Alaska",02164,4.2,12,"1740 of 3143"
"Lewis County, Idaho",16061,4.2,54,"1740 of 3143"
"Livingston County, Kentucky",21139,4.2,133,"1739 of 3143"
"Harrison County, Ohio",39067,4.2,214,"1738 of 3143"
"Butts County, Georgia",13035,4.2,402,"1737 of 3143"
"Mohave County, Arizona",04015,4.2,3464,"1736 of 3143"
"Lancaster County, Virginia",51103,4.2,169,"1735 of 3143"
"Douglas County, Missouri",29067,4.2,180,"1734 of 3143"
"Crawford County, Illinois",17033,4.2,313,"1733 of 3143"
"Breckinridge County, Kentucky",21027,4.2,291,"1732 of 3143"
"Lincoln County, North Carolina",37109,4.2,1266,"1731 of 3143"
"Jefferson Davis County, Mississippi",28065,4.2,153,"1730 of 3143"
"Mitchell County, North Carolina",37121,4.2,227,"1729 of 3143"
"Graves County, Kentucky",21083,4.2,504,"1728 of 3143"
"Camas County, Idaho",16025,4.2,13,"1727 of 3143"
"Eagle County, Colorado",08037,4.2,901,"1726 of 3143"
"Adams County, Iowa",19003,4.2,55,"1725 of 3143"
"Lincoln County, Tennessee",47103,4.2,494,"1724 of 3143"
"Chautauqua County, New York",36013,4.2,1844,"1723 of 3143"
"Wayne County, Missouri",29223,4.2,170,"1722 of 3143"
"Lowndes County, Mississippi",28087,4.2,761,"1721 of 3143"
"Trousdale County, Tennessee",47169,4.2,195,"1720 of 3143"
"Georgetown County, South Carolina",45043,4.2,919,"1719 of 3143"
"Codington County, South Dakota",46029,4.2,405,"1718 of 3143"
"Trigg County, Kentucky",21221,4.2,202,"1717 of 3143"
"Scioto County, Ohio",39145,4.2,1043,"1716 of 3143"
"Harrison County, Texas",48203,4.2,916,"1715 of 3143"
"McNairy County, Tennessee",47109,4.2,367,"1714 of 3143"
"Alger County, Michigan",26003,4.2,160,"1713 of 3143"
"Colleton County, South Carolina",45029,4.2,537,"1712 of 3143"
"Rockdale County, Georgia",13247,4.2,1175,"1711 of 3143"
"Aleutians West Census Area, Alaska",02016,4.2,98,"1710 of 3143"
"Lewis County, Missouri",29111,4.2,135,"1709 of 3143"
"Manatee County, Florida",12081,4.2,5903,"1708 of 3143"
"Etowah County, Alabama",01055,4.2,1427,"1707 of 3143"
"Mason County, Illinois",17125,4.2,196,"1706 of 3143"
"Colbert County, Alabama",01033,4.2,793,"1705 of 3143"
"Warren County, Virginia",51187,4.2,576,"1704 of 3143"
"Kerr County, Texas",48265,4.1,753,"1703 of 3143"
"Madison County, North Carolina",37115,4.1,308,"1702 of 3143"
"Sherman County, Nebraska",31163,4.1,45,"1701 of 3143"
"Scott County, Indiana",18143,4.1,341,"1700 of 3143"
"Guilford County, North Carolina",37081,4.1,6924,"1699 of 3143"
"Jackson County, Mississippi",28059,4.1,1963,"1698 of 3143"
"Tipton County, Tennessee",47167,4.1,818,"1697 of 3143"
"Bowie County, Texas",48037,4.1,1301,"1696 of 3143"
"Mathews County, Virginia",51115,4.1,122,"1695 of 3143"
"Bristol Bay Borough, Alaska",02060,4.1,15,"1694 of 3143"
"George County, Mississippi",28039,4.1,334,"1693 of 3143"
"Galveston County, Texas",48167,4.1,4680,"1692 of 3143"
"Marshall County, Kentucky",21157,4.1,464,"1691 of 3143"
"Marion County, Florida",12083,4.1,5366,"1689 of 3143"
"Marshall County, Kansas",20117,4.1,142,"1689 of 3143"
"Orleans County, New York",36073,4.1,603,"1688 of 3143"
"Morrow County, Ohio",39117,4.1,501,"1687 of 3143"
"Frontier County, Nebraska",31063,4.1,37,"1686 of 3143"
"Pipestone County, Minnesota",27117,4.1,124,"1685 of 3143"
"Anderson County, South Carolina",45007,4.1,2718,"1684 of 3143"
"Aroostook County, Maine",23003,4.1,1009,"1683 of 3143"
"Caribou County, Idaho",16029,4.1,91,"1682 of 3143"
"Greenville County, South Carolina",45045,4.1,6969,"1681 of 3143"
"Hutchinson County, South Dakota",46067,4.1,100,"1680 of 3143"
"Milwaukee County, Wisconsin",55079,4.1,12157,"1679 of 3143"
"Franklin County, Iowa",19069,4.1,144,"1678 of 3143"
"Perry County, Mississippi",28111,4.1,157,"1677 of 3143"
"Okmulgee County, Oklahoma",40111,4.1,484,"1676 of 3143"
"Wayne County, Michigan",26163,4.1,23377,"1675 of 3143"
"Polk County, Missouri",29167,4.1,407,"1674 of 3143"
"Hutchinson County, Texas",48233,4.1,279,"1673 of 3143"
"San Juan County, Colorado",08111,4.1,12,"1672 of 3143"
"Morris County, Texas",48343,4.1,157,"1671 of 3143"
"Franklin County, Vermont",50011,4.1,700,"1670 of 3143"
"Rankin County, Mississippi",28121,4.1,2089,"1669 of 3143"
"Hardin County, Texas",48199,4.1,753,"1668 of 3143"
"Saline County, Illinois",17165,4.1,335,"1667 of 3143"
"Gallatin County, Kentucky",21077,4.1,116,"1666 of 3143"
"Johnston County, Oklahoma",40069,4.1,141,"1665 of 3143"
"Waushara County, Wisconsin",55137,4.1,406,"1664 of 3143"
"Hillsdale County, Michigan",26059,4.1,633,"1663 of 3143"
"Dyer County, Tennessee",47045,4.1,477,"1662 of 3143"
"Boone County, West Virginia",54005,4.1,314,"1661 of 3143"
"Sussex County, Delaware",10005,4.1,3414,"1660 of 3143"
"Audrain County, Missouri",29007,4.1,311,"1659 of 3143"
"Somerset County, Maryland",24039,4.0,380,"1658 of 3143"
"Pasquotank County, North Carolina",37139,4.0,535,"1657 of 3143"
"Dooly County, Georgia",13093,4.0,187,"1656 of 3143"
"Carson City, Nevada",32510,4.0,869,"1655 of 3143"
"Pima County, Arizona",04019,4.0,13767,"1654 of 3143"
"Cobb County, Georgia",13067,4.0,9967,"1653 of 3143"
"Cook County, Georgia",13075,4.0,212,"1652 of 3143"
"Carbon County, Pennsylvania",42025,4.0,959,"1651 of 3143"
"Coosa County, Alabama",01037,4.0,163,"1650 of 3143"
"Natchitoches Parish, Louisiana",22069,4.0,432,"1649 of 3143"
"Newton County, Indiana",18111,4.0,205,"1648 of 3143"
"Cayuga County, New York",36011,4.0,1156,"1647 of 3143"
"Benton County, Indiana",18007,4.0,116,"1645 of 3143"
"Orleans County, Vermont",50019,4.0,403,"1645 of 3143"
"Davidson County, Tennessee",47037,4.0,9476,"1644 of 3143"
"Polk County, Arkansas",05113,4.0,265,"1643 of 3143"
"Maries County, Missouri",29125,4.0,120,"1642 of 3143"
"Siskiyou County, California",06093,4.0,639,"1641 of 3143"
"Williamsburg City, Virginia",51830,4.0,147,"1640 of 3143"
"Coos County, New Hampshire",33007,4.0,525,"1639 of 3143"
"Red Lake County, Minnesota",27125,4.0,56,"1638 of 3143"
"Alexandria City, Virginia",51510,4.0,2302,"1637 of 3143"
"Shelby County, Tennessee",47157,4.0,11309,"1636 of 3143"
"Ashley County, Arkansas",05003,4.0,252,"1635 of 3143"
"Lehigh County, Pennsylvania",42077,4.0,4904,"1634 of 3143"
"Lewis County, West Virginia",54041,4.0,240,"1633 of 3143"
"Sumter County, Alabama",01119,4.0,135,"1632 of 3143"
"Augusta County, Virginia",51015,4.0,1143,"1631 of 3143"
"Crawford County, Pennsylvania",42039,4.0,1145,"1630 of 3143"
"Taylor County, Texas",48441,4.0,1656,"1629 of 3143"
"Kent County, Delaware",10001,4.0,2270,"1628 of 3143"
"Lauderdale County, Mississippi",28075,4.0,941,"1627 of 3143"
"Monroe County, Georgia",13207,4.0,375,"1626 of 3143"
"Cabell County, West Virginia",54011,4.0,1215,"1625 of 3143"
"Anderson County, Tennessee",47001,4.0,1049,"1624 of 3143"
"Jasper County, Missouri",29097,4.0,1531,"1623 of 3143"
"Dallas County, Alabama",01047,4.0,462,"1622 of 3143"
"St. James Parish, Louisiana",22093,4.0,264,"1621 of 3143"
"Richmond County, Georgia",13245,4.0,2493,"1620 of 3143"
"Rusk County, Wisconsin",55107,4.0,207,"1619 of 3143"
"Wicomico County, Maryland",24045,4.0,1207,"1618 of 3143"
"Anderson County, Kentucky",21005,4.0,313,"1617 of 3143"
"Fairfield County, South Carolina",45039,4.0,282,"1616 of 3143"
"Fulton County, Indiana",18049,4.0,272,"1615 of 3143"
"Bienville Parish, Louisiana",22013,3.9,173,"1614 of 3143"
"Montgomery County, Missouri",29139,3.9,156,"1613 of 3143"
"Mariposa County, California",06043,3.9,271,"1612 of 3143"
"Greeley County, Nebraska",31077,3.9,30,"1611 of 3143"
"Baker County, Georgia",13007,3.9,40,"1610 of 3143"
"Logan County, Arkansas",05083,3.9,290,"1609 of 3143"
"Giles County, Virginia",51071,3.9,233,"1608 of 3143"
"Jackson County, Wisconsin",55053,3.9,317,"1607 of 3143"
"Edgar County, Illinois",17045,3.9,240,"1606 of 3143"
"Knox County, Illinois",17095,3.9,688,"1605 of 3143"
"Allegany County, New York",36003,3.9,587,"1604 of 3143"
"Grant County, Wisconsin",55043,3.9,646,"1603 of 3143"
"Hamlin County, South Dakota",46057,3.9,74,"1602 of 3143"
"Furnas County, Nebraska",31065,3.9,63,"1601 of 3143"
"Blount County, Tennessee",47009,3.9,1821,"1600 of 3143"
"Cibola County, New Mexico",35006,3.9,370,"1599 of 3143"
"Cameron Parish, Louisiana",22023,3.9,73,"1598 of 3143"
"Perry County, Arkansas",05105,3.9,139,"1597 of 3143"
"King and Queen County, Virginia",51097,3.9,106,"1596 of 3143"
"Esmeralda County, Nevada",32009,3.9,17,"1595 of 3143"
"Colfax County, New Mexico",35007,3.9,181,"1594 of 3143"
"Kenosha County, Wisconsin",55059,3.9,2191,"1593 of 3143"
"Lawrence County, Missouri",29109,3.9,485,"1592 of 3143"
"Borden County, Texas",48033,3.9,7,"1591 of 3143"
"Will County, Illinois",17197,3.9,8851,"1590 of 3143"
"White County, Georgia",13311,3.9,374,"1589 of 3143"
"Potter County, Pennsylvania",42105,3.9,231,"1588 of 3143"
"Atchison County, Kansas",20005,3.9,190,"1587 of 3143"
"Orleans Parish, Louisiana",22071,3.9,4987,"1586 of 3143"
"Dauphin County, Pennsylvania",42043,3.9,3667,"1585 of 3143"
"Poweshiek County, Iowa",19157,3.9,223,"1584 of 3143"
"Laurens County, Georgia",13175,3.9,586,"1583 of 3143"
"Spalding County, Georgia",13255,3.9,835,"1582 of 3143"
"Kanabec County, Minnesota",27065,3.9,222,"1581 of 3143"
"Windham County, Connecticut",09015,3.9,1561,"1580 of 3143"
"Guernsey County, Ohio",39059,3.9,511,"1579 of 3143"
"Hamilton County, Tennessee",47065,3.9,4723,"1578 of 3143"
"Lincoln Parish, Louisiana",22061,3.9,484,"1576 of 3143"
"Troup County, Georgia",13285,3.9,826,"1576 of 3143"
"Suffolk City, Virginia",51800,3.9,1161,"1575 of 3143"
"Tripp County, South Dakota",46123,3.9,76,"1574 of 3143"
"Muskogee County, Oklahoma",40101,3.9,817,"1573 of 3143"
"Miner County, South Dakota",46097,3.9,32,"1572 of 3143"
"White County, Indiana",18181,3.9,324,"1571 of 3143"
"Mountrail County, North Dakota",38061,3.9,128,"1570 of 3143"
"Union County, Georgia",13291,3.9,353,"1569 of 3143"
"Grays Harbor County, Washington",53027,3.9,1079,"1568 of 3143"
"Pierce County, North Dakota",38069,3.9,56,"1567 of 3143"
"Mifflin County, Pennsylvania",42087,3.8,606,"1566 of 3143"
"Mahnomen County, Minnesota",27087,3.8,63,"1565 of 3143"
"Ogle County, Illinois",17141,3.8,680,"1564 of 3143"
"Boone County, Arkansas",05009,3.8,482,"1563 of 3143"
"Greene County, New York",36039,3.8,715,"1562 of 3143"
"Marshall County, Tennessee",47117,3.8,425,"1561 of 3143"
"Rosebud County, Montana",30087,3.8,102,"1559 of 3143"
"Yankton County, South Dakota",46135,3.8,326,"1559 of 3143"
"Labette County, Kansas",20099,3.8,253,"1558 of 3143"
"Henderson County, Tennessee",47077,3.8,354,"1557 of 3143"
"Raleigh County, West Virginia",54081,3.8,1017,"1556 of 3143"
"Wilcox County, Alabama",01131,3.8,123,"1555 of 3143"
"Jefferson County, Arkansas",05069,3.8,864,"1554 of 3143"
"Bradley County, Tennessee",47011,3.8,1347,"1553 of 3143"
"Monroe County, Florida",12087,3.8,1281,"1552 of 3143"
"Jackson County, Indiana",18071,3.8,574,"1551 of 3143"
"Jefferson County, West Virginia",54037,3.8,746,"1550 of 3143"
"Walworth County, South Dakota",46129,3.8,70,"1549 of 3143"
"Wallace County, Kansas",20199,3.8,20,"1548 of 3143"
"Campbell County, Virginia",51031,3.8,733,"1547 of 3143"
"Monroe County, West Virginia",54063,3.8,172,"1546 of 3143"
"Cedar County, Missouri",29039,3.8,187,"1545 of 3143"
"Franklin County, Kentucky",21073,3.8,651,"1544 of 3143"
"Watauga County, North Carolina",37189,3.8,593,"1543 of 3143"
"Divide County, North Dakota",38023,3.8,32,"1542 of 3143"
"Knox County, Ohio",39083,3.8,747,"1541 of 3143"
"Kit Carson County, Colorado",08063,3.8,89,"1540 of 3143"
"Sanilac County, Michigan",26151,3.8,547,"1539 of 3143"
"Osage County, Missouri",29151,3.8,176,"1538 of 3143"
"Buchanan County, Missouri",29021,3.8,1097,"1537 of 3143"
"Holt County, Nebraska",31089,3.8,129,"1536 of 3143"
"Clay County, Georgia",13061,3.8,42,"1535 of 3143"
"Mason County, Washington",53045,3.8,925,"1534 of 3143"
"Jefferson County, Florida",12065,3.8,217,"1533 of 3143"
"Perry County, Pennsylvania",42099,3.8,621,"1532 of 3143"
"Morgan County, Georgia",13211,3.8,249,"1531 of 3143"
"Fulton County, New York",36035,3.8,724,"1530 of 3143"
"Cortland County, New York",36023,3.7,544,"1529 of 3143"
"Stearns County, Minnesota",27145,3.7,1847,"1528 of 3143"
"Henry County, Missouri",29083,3.7,288,"1527 of 3143"
"Kershaw County, South Carolina",45055,3.7,813,"1526 of 3143"
"Nome Census Area, Alaska",02180,3.7,112,"1524 of 3143"
"Torrance County, New Mexico",35057,3.7,202,"1524 of 3143"
"Doniphan County, Kansas",20043,3.7,92,"1523 of 3143"
"Cherokee County, Georgia",13057,3.7,3226,"1522 of 3143"
"Wakulla County, Florida",12129,3.7,503,"1521 of 3143"
"Bleckley County, Georgia",13023,3.7,136,"1520 of 3143"
"DeKalb County, Illinois",17037,3.7,1097,"1519 of 3143"
"Orange County, New York",36071,3.7,4660,"1518 of 3143"
"St. Tammany Parish, Louisiana",22103,3.7,3216,"1517 of 3143"
"Person County, North Carolina",37145,3.7,492,"1516 of 3143"
"Emmet County, Iowa",19063,3.7,121,"1515 of 3143"
"Delta County, Colorado",08029,3.7,425,"1513 of 3143"
"Turner County, South Dakota",46125,3.7,111,"1513 of 3143"
"Bates County, Missouri",29013,3.7,202,"1512 of 3143"
"Randolph County, Illinois",17157,3.7,466,"1511 of 3143"
"Lowndes County, Georgia",13185,3.7,1220,"1510 of 3143"
"Osceola County, Michigan",26133,3.7,301,"1509 of 3143"
"Lampasas County, Texas",48281,3.7,279,"1508 of 3143"
"Berkeley County, South Carolina",45015,3.7,2692,"1507 of 3143"
"Columbia County, Washington",53013,3.7,56,"1505 of 3143"
"Warren County, Illinois",17187,3.7,197,"1505 of 3143"
"Pottawattamie County, Iowa",19155,3.7,1135,"1504 of 3143"
"Polk County, Iowa",19153,3.7,5898,"1503 of 3143"
"Caddo Parish, Louisiana",22017,3.7,2790,"1502 of 3143"
"Miami County, Indiana",18103,3.7,501,"1501 of 3143"
"Montgomery County, New York",36057,3.7,616,"1500 of 3143"
"Washington County, Oregon",41067,3.7,7507,"1499 of 3143"
"Greene County, Georgia",13133,3.7,245,"1498 of 3143"
"Baxter County, Arkansas",05005,3.7,556,"1497 of 3143"
"Norman County, Minnesota",27107,3.7,84,"1496 of 3143"
"Pike County, Ohio",39131,3.7,335,"1495 of 3143"
"Androscoggin County, Maine",23001,3.7,1367,"1494 of 3143"
"San Juan County, New Mexico",35045,3.7,1446,"1493 of 3143"
"Redwood County, Minnesota",27127,3.7,190,"1491 of 3143"
"Shackelford County, Texas",48417,3.7,38,"1491 of 3143"
"Bernalillo County, New Mexico",35001,3.7,8327,"1490 of 3143"
"Carbon County, Wyoming",56007,3.7,196,"1489 of 3143"
"Adams County, Pennsylvania",42001,3.7,1315,"1488 of 3143"
"Cabarrus County, North Carolina",37025,3.7,2572,"1487 of 3143"
"Roanoke City, Virginia",51770,3.7,1197,"1486 of 3143"
"Hancock County, West Virginia",54029,3.7,380,"1485 of 3143"
"Big Horn County, Wyoming",56003,3.7,147,"1484 of 3143"
"Lee County, Mississippi",28081,3.7,951,"1483 of 3143"
"Ogemaw County, Michigan",26129,3.7,286,"1482 of 3143"
"Dorchester County, Maryland",24019,3.7,390,"1481 of 3143"
"Moore County, North Carolina",37125,3.7,1230,"1480 of 3143"
"Butte County, California",06007,3.7,2553,"1479 of 3143"
"Hamilton County, Illinois",17065,3.7,101,"1478 of 3143"
"Union County, Pennsylvania",42119,3.7,602,"1477 of 3143"
"Caldwell County, Kentucky",21033,3.7,155,"1476 of 3143"
"Uinta County, Wyoming",56041,3.7,246,"1475 of 3143"
"Stutsman County, North Dakota",38093,3.7,280,"1474 of 3143"
"Livingston County, Illinois",17105,3.7,461,"1473 of 3143"
"Bergen County, New Jersey",34003,3.6,11795,"1472 of 3143"
"Crawford County, Ohio",39033,3.6,523,"1470 of 3143"
"San Luis Obispo County, California",06079,3.6,3478,"1470 of 3143"
"Atchison County, Missouri",29005,3.6,70,"1469 of 3143"
"Bond County, Illinois",17005,3.6,226,"1468 of 3143"
"Fayette County, Iowa",19065,3.6,244,"1467 of 3143"
"Adams County, Wisconsin",55001,3.6,324,"1466 of 3143"
"Texas County, Missouri",29215,3.6,339,"1465 of 3143"
"Henderson County, Kentucky",21101,3.6,538,"1464 of 3143"
"Mora County, New Mexico",35033,3.6,54,"1463 of 3143"
"Sitka Borough, Alaska",02220,3.6,112,"1462 of 3143"
"Jefferson County, Idaho",16051,3.6,318,"1461 of 3143"
"Forrest County, Mississippi",28035,3.6,825,"1460 of 3143"
"Hamilton County, New York",36041,3.6,71,"1459 of 3143"
"Luzerne County, Pennsylvania",42079,3.6,4120,"1458 of 3143"
"Bedford County, Pennsylvania",42009,3.6,619,"1457 of 3143"
"Stevens County, Minnesota",27149,3.6,107,"1456 of 3143"
"Norfolk City, Virginia",51710,3.6,2706,"1455 of 3143"
"Fairfax City, Virginia",51600,3.6,287,"1454 of 3143"
"Bell County, Texas",48027,3.6,3881,"1453 of 3143"
"Kanawha County, West Virginia",54039,3.6,2245,"1452 of 3143"
"Mitchell County, Iowa",19131,3.6,128,"1451 of 3143"
"Archer County, Texas",48009,3.6,107,"1450 of 3143"
"Bandera County, Texas",48019,3.6,283,"1449 of 3143"
"Iroquois County, Illinois",17075,3.6,333,"1448 of 3143"
"Clayton County, Iowa",19043,3.6,222,"1447 of 3143"
"Green Lake County, Wisconsin",55047,3.6,240,"1446 of 3143"
"Clark County, Missouri",29045,3.6,83,"1443 of 3143"
"Clinton County, Illinois",17027,3.6,490,"1443 of 3143"
"Randolph County, Missouri",29175,3.6,322,"1443 of 3143"
"Warren County, Mississippi",28149,3.6,515,"1442 of 3143"
"Fall River County, South Dakota",46047,3.6,95,"1441 of 3143"
"Washington County, Maine",23029,3.6,396,"1440 of 3143"
"Skagit County, Washington",53057,3.6,1586,"1439 of 3143"
"Haskell County, Oklahoma",40061,3.6,139,"1438 of 3143"
"Ashland County, Ohio",39005,3.6,609,"1437 of 3143"
"Woodford County, Kentucky",21239,3.6,317,"1436 of 3143"
"Kennebec County, Maine",23011,3.6,1532,"1435 of 3143"
"Cowlitz County, Washington",53015,3.6,1335,"1434 of 3143"
"Newton County, Texas",48351,3.6,158,"1433 of 3143"
"Taylor County, Florida",12123,3.6,320,"1432 of 3143"
"Livingston County, Missouri",29117,3.6,158,"1431 of 3143"
"Mercer County, North Dakota",38057,3.6,108,"1430 of 3143"
"Pope County, Illinois",17151,3.5,52,"1429 of 3143"
"Lonoke County, Arkansas",05085,3.5,847,"1428 of 3143"
"Delta County, Texas",48119,3.5,58,"1427 of 3143"
"Hood County, Texas",48221,3.5,749,"1426 of 3143"
"Orange County, Virginia",51137,3.5,445,"1425 of 3143"
"Elk County, Kansas",20049,3.5,31,"1424 of 3143"
"Grant County, Oregon",41023,3.5,99,"1423 of 3143"
"Mercer County, Kentucky",21167,3.5,267,"1422 of 3143"
"Jasper County, South Carolina",45053,3.5,347,"1421 of 3143"
"Jessamine County, Kentucky",21113,3.5,596,"1420 of 3143"
"Pawnee County, Oklahoma",40117,3.5,188,"1419 of 3143"
"Hernando County, Florida",12053,3.5,2419,"1418 of 3143"
"Clay County, Texas",48077,3.5,130,"1417 of 3143"
"Noble County, Ohio",39121,3.5,235,"1416 of 3143"
"Washington County, Maryland",24043,3.5,1924,"1415 of 3143"
"Woods County, Oklahoma",40151,3.5,101,"1414 of 3143"
"Prince George County, Virginia",51149,3.5,556,"1413 of 3143"
"Tuscaloosa County, Alabama",01125,3.5,2352,"1412 of 3143"
"Klamath County, Oregon",41035,3.5,835,"1411 of 3143"
"Calcasieu Parish, Louisiana",22019,3.5,2379,"1410 of 3143"
"Crawford County, Georgia",13079,3.5,150,"1409 of 3143"
"Clarke County, Georgia",13059,3.5,1202,"1408 of 3143"
"Somerset County, Pennsylvania",42111,3.5,1018,"1407 of 3143"
"Bourbon County, Kansas",20011,3.5,160,"1406 of 3143"
"Harney County, Oregon",41025,3.5,92,"1405 of 3143"
"Hardin County, Ohio",39065,3.5,322,"1404 of 3143"
"Steuben County, New York",36101,3.5,1150,"1403 of 3143"
"Stephens County, Oklahoma",40137,3.5,497,"1402 of 3143"
"Taylor County, Wisconsin",55119,3.5,245,"1401 of 3143"
