Demographic Data Report for United States by County,,,,
Poverty: Persons below poverty,,,,
"All Ages, Black (includes Hispanic), Male",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Scott County, Missouri",29201,47,897,2516 of 2897
"Livingston County, Illinois",17105,47,94,2515 of 2897
"Ellis County, Kansas",20051,46.8,95,2514 of 2897
"Union County, Pennsylvania",42119,46.8,109,2513 of 2897
"Alcorn County, Mississippi",28003,46.8,775,2512 of 2897
"Johnson County, Arkansas",05071,46.7,107,2511 of 2897
"Indiana County, Pennsylvania",42063,46.7,220,2510 of 2897
"Gove County, Kansas",20063,46.7,7,2509 of 2897
"Phillips County, Arkansas",05107,46.4,2240,2508 of 2897
"Acadia Parish, Louisiana",22001,46.4,2251,2507 of 2897
"Kleberg County, Texas",48273,46.4,216,2506 of 2897
"Caldwell Parish, Louisiana",22021,46.2,377,2505 of 2897
"Dickens County, Texas",48125,46.2,6,2501 of 2897
"Johnson County, Nebraska",31097,46.2,6,2501 of 2897
"Routt County, Colorado",08107,46.2,24,2501 of 2897
"Warren County, Tennessee",47177,46.2,246,2501 of 2897
"Jefferson County, Iowa",19101,46.1,153,2500 of 2897
"Saline County, Nebraska",31151,45.8,33,2499 of 2897
"Edmonson County, Kentucky",21061,45.8,70,2498 of 2897
"Stark County, Illinois",17175,45.7,16,2497 of 2897
"Holmes County, Florida",12059,45.6,185,2496 of 2897
"Richland Parish, Louisiana",22083,45.5,1381,2495 of 2897
"Ray County, Missouri",29177,45.3,63,2494 of 2897
"Madison County, New York",36053,45,86,2493 of 2897
"Essex County, New York",36031,44.8,13,2492 of 2897
"Van Buren County, Michigan",26159,44.7,562,2491 of 2897
"Claiborne Parish, Louisiana",22027,44.7,1571,2490 of 2897
"Sullivan County, Pennsylvania",42113,44.7,63,2489 of 2897
"Hillsdale County, Michigan",26059,44.6,62,2488 of 2897
"Grayson County, Virginia",51077,44.4,56,2486 of 2897
"Lawrence County, Missouri",29109,44.4,4,2486 of 2897
"Tensas Parish, Louisiana",22107,44.2,452,2485 of 2897
"Dickinson County, Michigan",26043,44.1,45,2484 of 2897
"Perry County, Illinois",17145,44,37,2483 of 2897
"Lawrence County, Pennsylvania",42073,43.8,618,2482 of 2897
"Holmes County, Mississippi",28051,43.8,2940,2481 of 2897
"Wyoming County, West Virginia",54109,43.8,21,2480 of 2897
"Taylor County, Georgia",13269,43.7,653,2479 of 2897
"Rice County, Kansas",20159,43.7,38,2478 of 2897
"Josephine County, Oregon",41033,43.6,161,2477 of 2897
"Moody County, South Dakota",46101,43.6,17,2476 of 2897
"Hawaii County, Hawaii",15001,43.6,418,2475 of 2897
"Franklin County, Missouri",29071,43.6,224,2474 of 2897
"Houghton County, Michigan",26061,43.5,91,2473 of 2897
"Dunn County, Wisconsin",55033,43.5,74,2472 of 2897
"Gilchrist County, Florida",12041,43.4,36,2471 of 2897
"Jasper County, Texas",48241,43.3,1002,2470 of 2897
"Crisp County, Georgia",13081,43.2,1896,2469 of 2897
"Logan County, Oklahoma",40083,43.2,528,2468 of 2897
"Chautauqua County, New York",36013,43.1,637,2467 of 2897
"Greene County, Pennsylvania",42059,43.1,25,2466 of 2897
"Marion County, West Virginia",54049,43.1,382,2465 of 2897
"Avoyelles Parish, Louisiana",22009,43,1712,2464 of 2897
"Armstrong County, Pennsylvania",42005,43,144,2463 of 2897
"Morehouse Parish, Louisiana",22067,43,2447,2462 of 2897
"Cabell County, West Virginia",54011,42.9,845,2461 of 2897
"Monroe County, Illinois",17133,42.9,12,2459 of 2897
"Pike County, Illinois",17149,42.9,6,2459 of 2897
"Cooke County, Texas",48097,42.8,218,2458 of 2897
"Payne County, Oklahoma",40119,42.8,645,2457 of 2897
"Luna County, New Mexico",35029,42.8,115,2456 of 2897
"Oneida County, New York",36065,42.7,2586,2455 of 2897
"Cowley County, Kansas",20035,42.7,123,2454 of 2897
"Benton County, Oregon",41003,42.7,279,2453 of 2897
"DeSoto County, Florida",12027,42.6,792,2452 of 2897
"Washington County, Florida",12133,42.6,587,2451 of 2897
"Smith County, Tennessee",47159,42.4,132,2450 of 2897
"Mississippi County, Missouri",29133,42.4,517,2449 of 2897
